Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Transaction_ID,Cardholder,Card_Brand,Card_Number,Category,Merchant,Location,Device
130735.0,-0.786131963,-0.755687619,-0.307450962,-0.595725257,1.932178961,1.412154846,0.939479445,0.219068739,-0.119377582,-0.449549854,0.669507965,0.270363025,-0.455630344,0.473808845,0.568374198,-1.006155312,-0.143002079,-0.231763372,-0.399991942,0.477333497,0.638462379,1.670998499,0.264853817,-0.922521756,-0.4332734,-0.024057506,0.000185458,-0.005547572,194.0,0,TXN-100000,Luke Mercer,MasterCard,**** **** **** 9458,Online Retail,Best Buy,"London, UK",iPhone 15 Pro
48501.0,-1.602467525,1.914730166,-0.314438457,-0.122071605,-0.386320975,-0.681551444,-0.225741419,1.070883261,-0.850004762,-0.707394508,-1.563436404,0.500691818,1.111474445,0.888394614,0.534213635,0.547873399,-0.218441495,0.124155593,0.232621748,-0.221957678,0.186958762,0.238991485,-0.057627113,-0.404194666,-0.114600184,0.334094718,-0.275870282,-0.020537021,1.5,0,TXN-100001,David Hayes,Visa,**** **** **** 2708,Cash Withdrawal,Bank of America ATM,"Los Angeles, USA",iPhone 15 Pro
113097.0,2.062396576,-0.153565252,-1.594538001,-0.005036841,0.344404686,-0.420631811,-0.007358538,-0.072989606,0.655099255,0.097194209,0.486596857,0.37768166,-0.883759211,0.833015566,0.326149338,0.076516563,-0.875961704,0.834438835,0.243810429,-0.263071302,0.282587287,0.883002536,-0.03109312,0.349416332,0.337969974,-0.446878568,-0.006670806,-0.062595578,1.0,0,TXN-100002,Oliver Vance,Visa,**** **** **** 4630,Travel,Expedia,"Sydney, AUS",Android App
65405.0,-0.558982697,-0.431438436,1.893695872,-1.783053136,-1.752650473,0.522664609,1.156169215,-0.430281602,1.762762946,-1.192523915,1.127354867,0.248897884,-1.064997774,-0.222973526,2.013239338,-1.339554551,0.094424814,1.500887716,3.272504102,0.323958938,0.119396551,0.968116179,-0.352838902,0.049816016,0.32934827,-0.412495526,-0.15348826,-0.443772741,281.34,0,TXN-100003,Isaac Vance,Visa,**** **** **** 4211,Online Retail,Target,"Chicago, USA",iPhone 15 Pro
139385.0,-0.630846606,1.563440578,-0.473437903,0.801796441,0.892510468,-0.372939273,0.989495667,0.222417542,-1.110397972,0.037299164,0.31244953,1.052542193,0.545179183,0.794666557,-1.108246945,-0.847951415,-0.05786664,0.170590044,1.162615453,-0.007688029,0.209584898,0.768399641,-0.290349375,-0.357172232,0.080014241,-0.38470627,0.184710262,0.163154042,8.59,0,TXN-100004,Isabella Sterling,Visa,**** **** **** 7538,Groceries,Safeway,"Chicago, USA",Android App
75776.0,-1.078184275,0.201606393,0.83962229,-0.494824346,0.507284346,-0.817663795,1.723823062,-0.278387848,-0.880732826,-0.928629875,-0.838703121,0.102402853,0.646276017,0.22366655,0.110598017,0.341069749,-0.73669572,-0.594990371,-0.275920085,0.465133813,-0.180392765,-1.061831196,0.403184036,-0.173165605,0.099289213,0.008745667,-0.075240868,0.112548889,204.9,0,TXN-100005,Matthew Mercer,MasterCard,**** **** **** 1475,Digital Services,OpenAI ChatGPT,"New York, USA",MacBook Safari
165132.0,-7.503926237,-0.36062801,-3.830952283,2.486102856,2.497366775,1.332436943,-6.783963787,-15.41538492,0.465511605,-0.394381262,1.054107212,0.974058516,-1.453668019,-1.425619905,0.577661575,0.836807763,2.844949618,1.613509558,2.548312655,-0.475126443,-6.389131866,2.249964393,1.670508267,0.140450002,0.162147414,1.207730909,1.268958468,0.097538236,12.31,1,TXN-100006,Luke Mercer,MasterCard,**** **** **** 8684,Cash Withdrawal,Wells Fargo ATM,"Lagos, NGA",MacBook Safari
93860.0,-10.85028159,6.727465688,-16.76058341,8.425831679,-10.25269687,-4.192171044,-14.07708601,7.168287933,-3.683242174,-15.23996196,8.030708408,-16.06030576,0.270529742,-14.95298104,-0.241094884,-11.86673064,-15.48698992,-5.748651557,4.130031427,-0.646818273,2.541636947,0.135534921,-1.023966892,0.406264526,0.106592779,-0.026232389,-1.464630024,-0.41168182,78.0,1,TXN-100007,Daniel Sterling,Visa,**** **** **** 2207,Travel,Expedia,"Kiev, UKR",Windows Chrome
102572.0,-28.70922925,22.05772899,-27.85581113,11.84501291,-18.98381258,6.474114627,-43.55724157,-41.04426092,-13.32015469,-24.58826244,3.481951803,-9.128341286,-3.008255478,0.796579962,-2.102298521,-5.660366441,-13.03278496,-5.392349174,-0.901040818,11.05900429,-22.79760391,8.316275439,5.466229954,0.02385423,-1.527144723,-0.145225187,-5.68233824,-0.439133675,0.01,1,TXN-100008,Henry Vance,Visa,**** **** **** 2960,Luxury Goods,Rolex Boutique,"Kiev, UKR",Unknown API
75033.0,-0.430330206,0.985632694,0.645789437,0.317131047,0.616332206,-1.347462457,1.078233569,-0.161518268,-0.492855875,-1.039637697,-0.395607723,-0.66468393,-0.985700497,-0.660967627,0.344105203,0.530852434,0.278141865,0.355529917,-1.081223261,-0.115281935,-0.016378018,-0.207609058,-0.164119226,0.255280162,0.454797818,-0.505032216,-0.039455969,-0.006357582,30.14,1,TXN-100009,Ethan Thorne,Visa,**** **** **** 1557,Luxury Goods,Gucci,"Kiev, UKR",Unknown API
